CPT Code,Description
63077,Discectomy of thoracic spine by anterior approach with decompression of nerve root
63078,Discectomy of thoracic spine by anterior approach with decompression of nerve root
63081,Complete vertebral corpectomy of cervical spine by anterior approach with decompression of nerve root
63082,Complete vertebral corpectomy of cervical spine by anterior approach with decompression of nerve root
63085,Complete vertebral corpectomy of thoracic spine by transthoracic approach with decompression of nerve root
63086,Complete vertebral corpectomy of thoracic spine by transthoracic approach with decompression of nerve root
63087,Complete vertebral corpectomy of lower thoracic spine by combined thoracolumbar approach with decompression of nerve root
63088,Complete vertebral corpectomy of lower thoracic spine by combined thoracolumbar approach with decompression of nerve root
63090,Complete vertebral corpectomy of lower thoracic spine by retroperitoneal approach with decompression of nerve root
63091,Complete vertebral corpectomy of lower thoracic spine by retroperitoneal approach with decompression of nerve root
63101,Complete vertebral corpectomy of thoracic spine by lateral extracavitary approach with decompression of nerve root
63102,Complete vertebral corpectomy of lumbar spine by lateral extracavitary approach with decompression of nerve root
63103,Complete vertebral corpectomy of lumbar spine by lateral extracavitary approach with decompression of spinal cord
63170,Laminectomy of cervical spine with myelotomy
63172,Laminectomy with drainage of intramedullary cyst to subarachnoid space
63173,Laminectomy with drainage of intramedullary cyst to peritoneal space
63180,Laminectomy of cervical spine and section of dentate ligament
63182,Laminectomy of cervical spine and section of dentate ligament
63185,Laminectomy with rhizotomy
63190,Laminectomy with rhizotomy
63191,Laminectomy with section of spinal accessory nerve
63194,Laminectomy of cervical spine with section of spinothalamic tract
63195,Laminectomy of thoracic spine with section of spinothalamic tract
63196,Laminectomy of cervical spine with section of both spinothalamic tracts
63197,Laminectomy of thoracic spine with cordotomy with section of both spinothalamic tracts
63198,Laminectomy of cervical spine with section of both spinothalamic tracts
63199,Laminectomy of thoracic spine with section of both spinothalamic tracts
63200,Laminectomy of lumbar spine with release of tethered spinal cord
63250,Laminectomy of cervical spine for excision of arteriovenous malformation of spinal cord
63251,Laminectomy of thoracic spine for excision of arteriovenous malformation of spinal cord
63252,Laminectomy of thoracolumbar spine for excision of arteriovenous malformation of spinal cord
63265,Laminectomy of cervical spine for evacuation of extradural lesion
63266,Laminectomy of thoracic spine for evacuation of extradural lesion
63267,Laminectomy of lumbar spine for evacuation of extradural lesion
63268,Laminectomy of sacral spine for evacuation of extradural lesion
63270,Laminectomy of cervical spine for excision of intradural lesion
63271,Laminectomy of thoracic spine for excision of intradural lesion
63272,Laminectomy of lumbar spine for excision of intradural lesion
63273,Laminectomy of sacral spine for excision of intradural lesion
63275,Laminectomy of cervical spine for biopsy of extradural neoplasm
63276,Laminectomy of thoracic spine for biopsy of extradural neoplasm
63277,Laminectomy of lumbar spine for biopsy of extradural neoplasm
63278,Laminectomy of sacral spine for biopsy of extradural neoplasm
63280,Laminectomy of cervical spine for biopsy of intradural extramedullary neoplasm
63281,Laminectomy of thoracic spine for biopsy of intradural extramedullary neoplasm
63282,Laminectomy of lumbar spine for biopsy of intradural extramedullary neoplasm
63283,Laminectomy of sacral spine for biopsy of intradural neoplasm
63285,Laminectomy of cervical spine for biopsy of intradural neoplasm
63286,Laminectomy of thoracic spine for biopsy of intradural neoplasm
63287,Laminectomy of thoracolumbar spine for biopsy of intradural neoplasm
63290,Laminectomy of spine for biopsy of combined extradural-intradural neoplasm
63295,Osteoplastic reconstruction of dorsal spinal element
63300,Complete vertebral corpectomy of cervical spine for excision of extradural lesion
63301,Complete vertebral corpectomy of thoracic spine for excision of extradural lesion by transthoracic approach
63302,Complete vertebral corpectomy of thoracic spine for excision of extradural lesion by thoracolumbar approach
63303,Complete vertebral corpectomy of lumbar spine for excision of extradural lesion by retroperitoneal approach
63304,Complete vertebral corpectomy of cervical spine for excision of intradural lesion
63305,Complete vertebral corpectomy of thoracic spine for excision of intradural lesion by transthoracic approach
63306,Complete vertebral corpectomy of thoracic spine for excision of intradural lesion by thoracolumbar approach
63307,Complete vertebral corpectomy of lumbar spine for excision of intradural lesion by retroperitoneal approach
63308,Complete vertebral corpectomy for excision of intraspinal lesion
63600,Percutaneous creation of lesion of spinal cord by stereotactic method
63610,Percutaneous stimulation of spinal cord by stereotactic method
63620,Radiosurgery of spinal lesion using gamma ray by stereotactic method
63621,Radiosurgery of spinal lesion using gamma ray by stereotactic method
63650,Percutaneous implantation of epidural neurostimulator electrode array
63655,Laminectomy for epidural implantation of neurostimulator electrode
63661,Removal of spinal neurostimulator electrode percutaneous array
63662,Removal of spinal neurostimulator electrode paddle via laminectomy
63663,Revision and replacement of spinal neurostimulator electrode percutaneous array
63664,Revision and replacement of spinal neurostimulator electrode paddle via laminectomy using fluoroscopic guidance
63685,Insertion of spinal neurostimulator direct coupling
63688,Removal of implanted spinal neurostimulator pulse generator
63700,Repair of meningocele
63702,Repair of meningocele
63704,Repair of myelomeningocele
63706,Repair of myelomeningocele
63707,Repair of cerebrospinal fluid leak
63709,Laminectomy and repair of cerebrospinal fluid leak
63710,Graft of spinal dura
63740,Creation of lumbar subarachnoid-peritoneal shunt
63741,Percutaneous creation of lumbar subarachnoid-peritoneal shunt
63744,Irrigation of lumbosubarachnoid shunt
63746,Removal of entire lumbosubarachnoid shunt system
64400,Injection of anesthetic agent into branch of trigeminal nerve
64405,Injection of anesthetic agent into greater occipital nerve
64408,Injection of anesthetic agent into vagus nerve
64415,Injection of anesthetic agent into brachial plexus
64416,"Continuous infusion of anesthetic agent and steroid into brachial plexus, including insertion of catheter"
64417,Injection of anesthetic agent into axillary nerve
64418,Injection of anesthetic agent into suprascapular nerve
64420,Injection of anesthetic agent and steroid into intercostal nerve at single level
64421,"Injection of anesthetic agent and steroid into intercostal nerve, each additional level"
64425,Injection of anesthetic agent into iliohypogastric nerve
64430,Injection of anesthetic agent into pudendal nerve
64435,Injection of anesthetic agent into paracervical nerve of uterus
64445,Injection of anesthetic agent into sciatic nerve
64446,"Continuous infusion of anesthetic agent and steroid into sciatic nerve, including insertion of catheter"
64447,Injection of anesthetic agent into femoral nerve
64448,"Continuous infusion of anesthetic agent and steroid into femoral nerve, including insertion of catheter"
64449,"Continuous infusion of anesthetic agent and steroid into lumbar plexus by posterior approach, including insertion of catheter"
64450,Injection of anesthetic agent into peripheral nerve
64451,Injection of anesthetic agent and steroid into nerves innervating sacroiliac joint using CT guidance
64454,Injection of anesthetic agent and steroid into branches of genicular nerve
64455,Injection of anesthetic agent and steroid into plantar common digital nerve
64461,Thoracic paravertebral block
64462,Thoracic paravertebral block
64463,Thoracic paravertebral block by continuous infusion using catheter
64479,Transforaminal injection of anesthetic agent and steroid into epidural space of cervical spine using CT guidance
64480,Transforaminal injection of anesthetic agent and steroid into epidural space of cervical spine using CT guidance
64483,Transforaminal injection of anesthetic agent and steroid into epidural space of lumbar spine using CT guidance
64484,Transforaminal injection of anesthetic agent and steroid into epidural space of lumbar spine using CT guidance
64486,Unilateral transversus abdominis plane (TAP) block by injection
64487,Unilateral transversus abdominis plane (TAP) block by continuous infusion
64488,Bilateral transversus abdominis plane (TAP) block by injection
64489,Bilateral transversus abdominis plane (TAP) block by continuous infusion
64490,Injection of diagnostic agent into cervical paravertebral facet joint using fluoroscopic guidance
64491,Injection of diagnostic agent into cervical paravertebral facet joint using fluoroscopic guidance
64492,Injection of diagnostic agent into cervical paravertebral facet joint using fluoroscopic guidance
64493,Injection of diagnostic agent into lumbar paravertebral facet joint using fluoroscopic guidance
64494,Injection of diagnostic agent into lumbar paravertebral facet joint using fluoroscopic guidance
64495,Injection of diagnostic agent into lumbar paravertebral facet joint using fluoroscopic guidance
64505,Injection of anesthetic agent into sphenopalatine ganglion
64510,Injection of anesthetic agent into stellate ganglion
64517,Injection of anesthetic agent into superior hypogastric plexus
64520,Injection of anesthetic agent into lumbar paravertebral sympathetic nerve
64530,Injection of anesthetic agent into celiac plexus
64553,Percutaneous implantation of cranial nerve neurostimulator electrode array
64555,Percutaneous implantation of peripheral nerve neurostimulator electrode array
64561,Percutaneous implantation of sacral nerve neurostimulator electrode array by transforaminal approach
64566,Percutaneous posterior tibial nerve neurostimulation using needle electrode
64568,Incision for implantation of cranial nerve neurostimulator electrode array and pulse generator
64569,Replacement of cranial nerve neurostimulator electrode array
64570,Removal of cranial nerve neurostimulator electrode array and pulse generator
64575,Incision for implantation of peripheral nerve neurostimulator electrode array
64580,Incision for implantation of neuromuscular neurostimulator electrode array
64581,Incision for implantation of sacral nerve neuromuscular neurostimulator electrode array by transforaminal approach
64582,Opn mpltj hpglsl nstm ary pg
64583,Rev/rplct hpglsl nstm ary pg
64584,Rmvl hpglsl nstim ary pg
64585,Removal of peripheral neurostimulator electrode array
64590,Insertion of gastric neurostimulator direct coupling
64595,Removal of gastric neurostimulator pulse generator
64600,Destruction of infraorbital branch of trigeminal nerve using neurolytic agent
64605,Destruction of second and third division branches of trigeminal nerve at foramen ovale using neurolytic agent
64610,Destruction of second and third division branches of trigeminal nerve using neurolytic agent under radiologic monitoring
64611,Bilateral chemodenervation of parotid and submandibular salivary glands
64612,Chemodenervation of muscle innervated by facial nerve
64615,Bilateral chemodenervation of muscle innervated by accessory nerve
64616,Unilateral chemodenervation of muscle of neck
64617,Unilateral percutaneous chemodenervation of muscle of larynx
64620,Destruction of intercostal nerve using neurolytic agent
64624,Destruction by neurolytic agent of branches of genicular nerve
64625,"Radiofrequency ablation of nerves innervating the sacroiliac joint, with CT guidance"
64628,Trml dstrj ios bvn 1st 2 l/s
64629,Trml dstrj ios bvn ea addl
64630,Destruction of pudendal nerve using neurolytic agent
64632,Destruction of plantar common digital nerve using neurolytic agent
64633,Destruction of cervical paravertebral facet joint nerve using neurolytic agent and using imaging guidance
64634,Destruction of cervical paravertebral facet joint nerve using neurolytic agent and using imaging guidance
64635,Destruction of lumbar paravertebral facet joint nerve using neurolytic agent and using imaging guidance
64636,Destruction of lumbar paravertebral facet joint nerve using neurolytic agent and using imaging guidance
64640,Destruction of nerve branch using neurolytic agent
64642,Chemodenervation of muscle of extremity
64643,Chemodenervation of muscle of extremity
64644,Chemodenervation of muscle of extremity
64645,Chemodenervation of muscle of extremity
64646,Chemodenervation of muscle of trunk
64647,Chemodenervation of muscle of trunk
64650,Bilateral chemodenervation of eccrine glands of axillae
64653,Chemodenervation of eccrine gland
64680,Destruction of celiac plexus using neurolytic agent
64681,Destruction of superior hypogastric plexus using neurolytic agent
64702,Neuroplasty of digital nerve
64704,Neuroplasty of nerve of foot
64708,Open neuroplasty of axillary nerve
64712,Open neuroplasty of sciatic nerve
64713,Open neuroplasty of brachial plexus
64714,Open neuroplasty of lumbar plexus
64716,Neuroplasty and transposition of cranial nerve
64718,Neuroplasty and transposition of ulnar nerve at elbow
64719,Neuroplasty and transposition of ulnar nerve at wrist
64721,Neuroplasty and transposition of median nerve at carpal tunnel
64722,Decompression of nerve
64726,Decompression of plantar digital nerve
64727,Internal neurolysis using operating microscope
64732,Avulsion of supraorbital nerve
64734,Avulsion of infraorbital nerve
64736,Avulsion of mental nerve
64738,Avulsion of inferior alveolar nerve by osteotomy
64740,Avulsion of lingual nerve
64742,Complete avulsion of facial nerve
64744,Avulsion of greater occipital nerve
64746,Avulsion of phrenic nerve
64755,Avulsion of vagus nerve of proximal stomach
64760,Avulsion of vagus nerve by abdominal approach
64763,Avulsion of extrapelvic obturator nerve
64766,Avulsion of intrapelvic obturator nerve
64771,Avulsion of extradural cranial spinal nerve
64772,Avulsion of extradural spinal nerve
64774,Excision of neuroma of cutaneous nerve
64776,Excision of neuroma of digital nerve
64778,Excision of neuroma of digital nerve
64782,Excision of neuroma of foot
64783,Excision of neuroma of foot
64784,Excision of neuroma of major peripheral nerve
64786,Excision of neuroma of sciatic nerve
64787,Implantation of nerve end into bone
64788,Excision of neurofibroma of cutaneous nerve
64790,Excision of neurofibroma of major peripheral nerve
64792,Excision of neurofibroma
64795,Biopsy of nerve
64802,Cervical sympathectomy
64804,Cervicothoracic sympathectomy
64809,Thoracolumbar sympathectomy
64818,Lumbar sympathectomy
64820,Sympathectomy of digital artery
64821,Sympathectomy of radial artery
64822,Sympathectomy of ulnar artery
64823,Sympathectomy of superficial palmar arch
64831,Suture of digital nerve of foot
64832,Suture of digital nerve of foot
64834,Suture of common sensory nerve of foot
64835,Suture of median motor thenar nerve
64836,Suture of ulnar motor nerve
64837,Suture of nerve of foot
64840,Suture of posterior tibial nerve
64856,Suture of major peripheral nerve of lower extremity with transposition
64857,Suture of major peripheral nerve of lower extremity
64858,Suture of sciatic nerve
64859,Suture of major peripheral nerve
64861,Suture of brachial plexus
64862,Suture of lumbar plexus
64864,Suture of extracranial facial nerve
64865,Suture of infratemporal facial nerve
64866,Anastomosis of facial nerve to spinal accessory nerve
64868,Anastomosis of facial nerve to hypoglossal nerve
64872,Delayed suture of nerve
64874,Mobilization and suture of nerve
64876,Suture of nerve with shortening of bone of extremity
64885,Nerve graft of head
64886,Nerve graft of head
64890,Single strand nerve graft of foot
64891,Single strand nerve graft of foot
64892,Single strand nerve graft of lower extremity
64893,Single strand nerve graft of lower extremity
64895,Multiple strand nerve graft of foot
64896,Multiple strand nerve graft of foot
64897,Multiple strand nerve graft of lower extremity
64898,Multiple strand nerve graft of lower extremity
64901,Single strand nerve graft
64902,Multiple strand nerve graft
64905,First stage of nerve pedicle transfer
64907,Second stage of nerve pedicle transfer
64910,Repair of nerve using synthetic conduit
64911,Repair of nerve using autogenous vein graft
64912,"Nerve repair using nerve allograft, first strand"
64913,"Nerve repair using nerve allograft, each additional strand"
64999,Procedure on nervous system
65091,Evisceration of ocular contents
65093,Evisceration of ocular contents with insertion of implant
65101,Enucleation of eye
65103,Enucleation of eye with insertion of implant
65105,Enucleation of eye with insertion and muscle attachment of implant
65110,Exenteration of orbit
65112,Removal of orbital contents and therapeutic removal of bone
65114,Removal of orbital contents with muscle flap
65125,Placement of peg in ocular implant
65130,Secondary insertion of ocular implant in scleral shell after evisceration
65135,Secondary insertion of ocular implant after enucleation
65140,Secondary insertion of ocular implant with muscle attachment after enucleation
65150,Reinsertion of ocular implant
65155,Reinsertion of ocular implant with muscle attachment
65175,Removal of ocular implant
65205,Removal of conjunctival superficial foreign body
65210,Removal of conjunctival embedded foreign body
65220,Removal of corneal foreign body
65222,Removal of corneal foreign body using slit lamp
65235,Removal of foreign body from anterior chamber of eye
65260,Magnetic extraction of foreign body from posterior segment of eye by anterior route
65265,Removal of foreign body from posterior segment of eye
65270,Direct closure of laceration of conjunctiva
65272,Repair of laceration of conjunctiva by mobilization and rearrangement
65273,Repair of laceration of conjunctiva by mobilization and rearrangement
65275,Repair of laceration of cornea
65280,Repair of perforating laceration of cornea
65285,Repair of perforating laceration of cornea with reposition of uveal tissue
65286,Repair of wound of cornea using tissue glue
65290,Repair of wound of Tenon's capsule
65400,Excision of lesion of cornea
65410,Biopsy of cornea
65420,Excision of pterygium
65426,Excision of pterygium with graft
65430,Diagnostic scraping of cornea for culture
65435,Removal of corneal epithelium
65436,Removal of corneal epithelium with application of chelating agent
65450,Cryosurgery of lesion of cornea
65600,Multiple punctures of anterior cornea
65710,Anterior lamellar corneal transplant
65730,Penetrating corneal transplant
65750,Penetrating corneal transplant
65755,Penetrating corneal transplant
65756,Endothelial corneal transplant
65757,Backbench preparation of corneal endothelial allograft for transplantation
65760,Keratomileusis
65765,Keratophakia
65767,Epikeratoplasty
65770,Keratoprosthesis
65771,Radial keratotomy
65772,Corneal relaxing incision for correction of surgically induced astigmatism
65775,Corneal wedge resection for correction of surgically induced astigmatism
65778,Placement of self-retaining amniotic membrane on ocular surface for wound healing
65779,Placement and suturing of amniotic membrane on ocular surface for wound healing
65780,Ocular surface reconstruction using amniotic membrane transplantation
65781,Ocular surface reconstruction using limbal stem cell allograft
65782,Ocular surface reconstruction using limbal conjunctival autograft
65785,Implantation of intrastromal corneal ring segments
65800,Paracentesis of anterior chamber of eye with diagnostic aspiration of aqueous
65810,Paracentesis of anterior chamber of eye with discission of anterior hyaloid membrane
65815,Paracentesis of anterior chamber of eye with removal of blood and air injection
65820,Goniotomy
65850,Trabeculotomy ab externo
65855,Laser trabeculoplasty
65860,Laser severing of adhesion of anterior segment of eye
65865,Incision of goniosynechiae
65870,Incision of anterior synechia of anterior segment of eye
65875,Incision of posterior synechia of anterior segment of eye
65880,Incision of corneovitreal adhesion
65900,Removal of epithelial downgrowth from anterior chamber of eye
65920,Removal of implant from anterior segment of eye
65930,Removal of blood clot from anterior segment of eye
66020,Injection of air into anterior chamber of eye
66030,Injection of medication into anterior chamber of eye
66130,Excision of lesion of sclera
66150,Fistulization of sclera for glaucoma by trephination with iridectomy
66155,Fistulization of sclera for glaucoma by thermocauterization with iridectomy
66160,Fistulization of sclera for glaucoma by sclerotomy using punch and iridectomy
66170,Fistulization of sclera for glaucoma by trabeculectomy ab externo
66172,Fistulization of sclera for glaucoma by trabeculectomy ab externo with injection of antifibrotic agent
66174,Transluminal dilation of aqueous outflow canal
66175,Transluminal dilation of aqueous outflow canal with retention of device
66179,Aqueous shunt to extraocular reservoir with graft
66180,Aqueous shunt to extraocular reservoir
66183,Insertion of aqueous drainage device of anterior segment of eye
66184,Revision of aqueous shunt to extraocular reservoir
66185,Revision of aqueous shunt to extraocular reservoir
66225,Repair of scleral staphyloma using graft
66250,Repair of operative wound of anterior segment
66500,Iridotomy by stab incision
66505,Iridotomy by stab incision with transfixion
66600,Iridectomy with corneal section for removal of lesion
66605,Iridectomy with corneal section and cyclectomy
66625,Peripheral iridectomy with corneal section for glaucoma
66630,Sector iridectomy with corneal section for glaucoma
66635,Optical iridectomy with corneoscleral section for glaucoma
66680,Repair of iris and ciliary body
66682,Suture of iris and ciliary body
66700,Diathermy destruction of ciliary body
66710,Transscleral cyclophotocoagulation
66711,Endoscopic cyclophotocoagulation
66720,Cryosurgical destruction of ciliary body
66740,Cyclodialysis
66761,Laser iridectomy
66762,Iridoplasty by photocoagulation
66770,Destruction of cyst of ciliary body
66820,Discission of secondary membranous cataract by stab incision
66821,Laser discission of secondary membranous cataract
66825,Repositioning of intraocular lens prosthesis with limbal incision
66830,Removal of secondary membranous cataract with corneo-scleral section
66840,Removal of lens material by aspiration
66850,Removal of lens material by mechanical phacofragmentation and aspiration
66852,Removal of lens material by pars plana approach
66920,Intracapsular removal of lens material
66930,Intracapsular removal of dislocated lens
66940,Extracapsular removal of lens material
66982,Complex 1-stage extracapsular cataract removal by irrigation and aspiration with insertion of intraocular lens prosthesis
66983,Intracapsular cataract extraction with insertion of intraocular lens prosthesis
66984,1-stage extracapsular cataract removal by irrigation and aspiration with insertion of intraocular lens prosthesis
66985,Insertion of intraocular lens prosthesis
66986,Exchange of intraocular lens
66987,"Complex 1-stage extracapsular cataract removal by irrigation and aspiration, with endoscopic cyclophotocoagulation and insertion of intraocular lens prosthesis and iris expansion device"
66988,1-stage extracapsular cataract removal by irrigation and aspiration with endoscopic cyclophotocoagulation and insertion of intraocular lens prosthesis
66989,Xcpsl ctrc rmvl cplx insj 1+
66990,Use of ophthalmic endoscope
66991,Xcapsl ctrc rmvl insj 1+
66999,Procedure on anterior segment of eye
67005,Partial removal of vitreous by anterior approach
67010,Subtotal removal of vitreous with mechanical vitrectomy by anterior approach
67015,Aspiration of choroidal fluid by pars plana approach
67025,Injection of vitreous substitute by limbal approach
67027,Implantation of intravitreal drug delivery system with removal of vitreous
67028,Intravitreal injection of pharmacologic agent
67030,Discission of vitreous strands by pars plana approach
67031,Laser severing of vitreous face adhesion
67036,Mechanical vitrectomy by pars plana approach
67039,Mechanical vitrectomy by pars plana approach with endolaser photocoagulation
67040,Mechanical vitrectomy by pars plana approach with endolaser photocoagulation
67041,Mechanical vitrectomy by pars plana approach with removal of preretinal cellular membrane
67042,Mechanical vitrectomy by pars plana approach
67043,Mechanical vitrectomy by pars plana approach with removal of internal limiting membrane of retina
67101,Repair of retinal detachment by cryotherapy
67105,Repair of retinal detachment by photocoagulation
67107,Repair of retinal detachment by scleral buckling
67108,Repair of retinal detachment with vitrectomy
67110,Repair of retinal detachment by injection of air
67113,Repair of retinal detachment with vitrectomy and membrane peeling
67115,Release of encircling material from posterior segment of eye
67120,Removal of extraocular implant from posterior segment of eye
67121,Removal of intraocular implant from posterior segment of eye
67141,Cryotherapy of retina for prophylaxis of retinal detachment
67145,Photocoagulation of retina for prophylaxis of retinal detachment
67208,Cryotherapy of lesion of choroid
67210,Photocoagulation of lesion of retina
67218,Radiation of lesion of retina by implantation of source
67220,Photocoagulation of lesion of choroid
67221,Photodynamic therapy of lesion of choroid with intravenous infusion
67225,Photodynamic therapy of lesion of choroid
67227,Cryotherapy of retinopathy
67228,Photocoagulation of retinopathy
67229,Cryotherapy of retinopathy
67250,Scleral reinforcement
67255,Scleral reinforcement using graft
67299,Procedure on posterior segment of eye
67311,Correction of strabismus by recession of horizontal muscle
67312,Correction of strabismus by recession of horizontal muscle
67314,Correction of strabismus by recession of vertical muscle
67316,Correction of strabismus by recession of vertical muscle
67318,Correction of strabismus by surgery on superior oblique muscle
67320,Transposition of extraocular muscle
67331,Correction of strabismus
67332,Correction of strabismus due to restrictive myopathy
67334,Correction of strabismus using posterior fixation suture
67335,Placement of adjustable suture for strabismus
67340,Correction of strabismus with exploration and repair of detached extraocular muscle
67343,Release of scar tissue of extraocular muscle
67345,Chemodenervation of extraocular muscle
67346,Biopsy of extraocular muscle
67399,Procedure on extraocular muscle
67400,Orbitotomy by frontal approach for exploration
67405,Orbitotomy by frontal approach with drainage
67412,Orbitotomy by frontal approach with removal of lesion
67413,Orbitotomy by frontal approach with removal of foreign body
67414,Orbitotomy by frontal approach with removal of bone for decompression
67415,Fine needle aspiration of orbital contents
67420,Orbitotomy with bone flap by lateral approach with removal of lesion
67430,Orbitotomy with bone flap by lateral approach with removal of foreign body
67440,Orbitotomy with bone flap by lateral approach with drainage
67445,Orbitotomy with bone flap by lateral approach with removal of bone for decompression
67450,Orbitotomy with bone flap by lateral approach for exploration
67500,Retrobulbar injection of medication
67505,Retrobulbar injection of alcohol
67515,Injection of medication into Tenon's capsule
67550,Insertion of orbital implant
67560,Removal of orbital implant
67570,Optic nerve decompression
67599,Procedure on orbit
67700,Incision and drainage of abscess of eyelid
67710,Severing of tarsorrhaphy
67715,Canthotomy
67800,Excision of chalazion
67801,Excision of chalazion
67805,Excision of chalazion
67808,Excision of chalazion
67810,Biopsy of eyelid
67820,Correction of trichiasis by epilation using forceps
67825,Correction of trichiasis by epilation
67830,Correction of trichiasis by incision of lid margin
67835,Correction of trichiasis by incision of lid margin with free mucous membrane graft
67840,Excision of lesion of eyelid
67850,Destruction of lesion of lid margin
67875,Temporary closure of eyelids using suture
67880,Canthorrhaphy
67882,Canthorrhaphy with transposition of tarsal plate
67900,Repair of brow ptosis by coronal approach
67901,Repair of blepharoptosis by frontalis muscle technique using suture
67902,Repair of blepharoptosis by frontalis muscle technique with autologous fascial sling
67903,Repair of blepharoptosis by (tarso) levator advancement by internal approach
67904,Repair of blepharoptosis by (tarso) levator advancement by external approach
67906,Repair of blepharoptosis by superior rectus technique with fascial sling
67908,Repair of blepharoptosis by conjunctivo-tarso-Muller's muscle-levator resection
67909,Reduction of overcorrection of ptosis
67911,Correction of lid retraction
67912,Correction of lagophthalmos with implantation of upper eyelid lid load
67914,Repair of ectropion using suture
67915,Repair of ectropion by thermocauterization
67916,Repair of ectropion by excision of tarsal wedge
67917,Repair of ectropion
67921,Repair of entropion using suture
67922,Repair of entropion by thermocauterization
67923,Repair of entropion by excision of tarsal wedge
67924,Repair of entropion
67930,Suture of partial thickness wound of eyelid
67935,Suture of full thickness wound of eyelid
67938,Removal of embedded foreign body from eyelid
67950,Reconstruction of canthus
67961,Excision and repair of canthus
67966,Excision and repair of canthus
67971,First stage of full thickness reconstruction of eyelid by transfer of tarsoconjunctival flap from opposing eyelid
67973,First stage of full thickness reconstruction of entire lower eyelid by transfer of tarsoconjunctival flap from opposing eyelid
67974,First stage of full thickness reconstruction of entire upper eyelid by transfer of tarsoconjunctival flap from opposing eyelid
67975,Second stage of full thickness reconstruction of eyelid by transfer of tarsoconjunctival flap from opposing eyelid
67999,Procedure on eyelid
68020,Incision and drainage of conjunctival cyst
68040,Expression of conjunctival follicle
68100,Biopsy of conjunctiva
68110,Excision of lesion of conjunctiva
68115,Excision of lesion of conjunctiva
68130,Excision of lesion of conjunctiva and adjacent sclera
68135,Destruction of lesion of conjunctiva
68200,Subconjunctival injection
68320,Conjunctivoplasty with conjunctival graft
68325,Conjunctivoplasty with buccal mucous membrane graft
68326,Reconstruction of conjunctival cul-de-sac using conjunctival graft
68328,Reconstruction of conjunctival cul-de-sac using buccal mucous membrane graft
68330,Repair of symblepharon by conjunctivoplasty
68335,Repair of symblepharon using free graft of buccal mucous membrane
68340,Division of symblepharon
68360,Bridge conjunctival flap
68362,Complete conjunctival flap
68371,Harvest of conjunctival allograft from living donor
68399,Procedure on conjunctiva
68400,Incision and drainage of lacrimal gland
68420,Incision and drainage of lacrimal sac
68440,Snip incision of lacrimal punctum
68500,Complete excision of lacrimal gland
68505,Partial excision of lacrimal gland
68510,Biopsy of lacrimal gland
68520,Excision of lacrimal sac
68525,Biopsy of lacrimal sac
68530,Removal of dacryolith from lacrimal passage
68540,Excision of lacrimal gland tumor by frontal approach
68550,Excision of lacrimal gland tumor with osteotomy
68700,Plastic repair of canaliculi
68705,Cautery of everted punctum
68720,Fistulization of lacrimal sac to nasal cavity
68745,Fistulization of conjunctiva to nasal cavity
68750,Fistulization of conjunctiva to nasal cavity with insertion of stent
68760,Laser surgery of lacrimal punctum
68761,Closure of the lacrimal punctum using plug
68770,Closure of lacrimal fistula
68801,Dilation of lacrimal punctum
68810,Probing of nasolacrimal duct
68811,Probing of nasolacrimal duct under general anesthesia
68815,Probing of nasolacrimal duct with insertion of stent
68816,Probing of nasolacrimal duct with transluminal balloon catheter dilation
68840,Probing of lacrimal canaliculi
68841,Insj rx elut implt lac canal
68850,Injection of contrast medium for dacryocystography
68899,Procedure on lacrimal system
69000,Drainage of abscess of external ear
69005,Drainage of abscess of external ear
69020,Drainage of abscess of external auditory canal
69090,Ear piercing
69100,Biopsy of external ear
69105,Biopsy of external auditory canal
69110,Partial excision of external ear with repair
69120,Complete amputation of external ear
69140,Excision of exostosis of external auditory canal
69145,Excision of soft tissue lesion of external auditory canal
69150,Radical excision of lesion of external auditory canal
69155,Radical excision of lesion of external auditory canal with neck dissection
69200,Removal of foreign body from external auditory canal
69205,Removal of foreign body from external auditory canal under general anesthesia
69209,Unilateral removal of impacted cerumen by irrigation
69210,Removal of impacted cerumen from ear
69220,Debridement of mastoidectomy cavity
69222,Debridement of mastoidectomy cavity
69300,Otoplasty for protruding ear
69310,Reconstruction of external auditory canal
69320,Reconstruction of external auditory canal for congenital atresia
69399,Procedure on external ear
69420,Myringotomy with aspiration
69421,Myringotomy with aspiration and eustachian tube inflation under general anesthesia
69424,Removal of ventilating tube under general anesthesia
69433,Tympanostomy with insertion of ventilating tube under local anesthesia
69436,Tympanostomy with insertion of ventilating tube under general anesthesia
69440,Middle ear exploration through ear canal incision
69450,Tympanolysis by transcanal approach
69501,Antrotomy by transmastoid approach
69502,Complete mastoidectomy
69505,Modified radical mastoidectomy
69511,Radical mastoidectomy
69530,Petrous apicectomy with radical mastoidectomy
69535,Resection of temporal bone by external approach
69540,Excision of aural polyp
69550,Excision of aural glomus tumor by transcanal approach
69552,Excision of aural glomus tumor by transmastoid approach
69554,Excision of aural glomus tumor
69601,Revision of mastoidectomy to complete mastoidectomy
69602,Revision of mastoidectomy to modified radical mastoidectomy
69603,Revision of mastoidectomy to radical mastoidectomy
69604,Revision of mastoidectomy with tympanoplasty
69605,Revision of mastoidectomy with apicectomy
69610,Repair of tympanic membrane
69620,Myringoplasty
69631,Tympanoplasty
69632,Tympanoplasty with atticotomy and ossicular chain reconstruction
